School,Year,Round
boston-college,2021.0,3.0
boston-college,2021.0,6.0
boston-college,2020.0,2.0
boston-college,2019.0,1.0
boston-college,2019.0,3.0
boston-college,2019.0,3.0
boston-college,2019.0,7.0
boston-college,2018.0,2.0
boston-college,2018.0,3.0
boston-college,2018.0,6.0
boston-college,2017.0,3.0
boston-college,2017.0,5.0
boston-college,2016.0,3.0
boston-college,2016.0,7.0
boston-college,2015.0,6.0
boston-college,2015.0,6.0
boston-college,2015.0,7.0
boston-college,2014.0,4.0
boston-college,2014.0,4.0
boston-college,2014.0,7.0
boston-college,2014.0,7.0
boston-college,2012.0,1.0
clemson,2021.0,1.0
clemson,2021.0,1.0
clemson,2021.0,2.0
clemson,2021.0,3.0
clemson,2021.0,5.0
clemson,2020.0,1.0
clemson,2020.0,1.0
clemson,2020.0,2.0
clemson,2020.0,3.0
clemson,2020.0,4.0
clemson,2020.0,4.0
clemson,2020.0,7.0
clemson,2019.0,1.0
clemson,2019.0,1.0
clemson,2019.0,1.0
clemson,2019.0,2.0
clemson,2019.0,4.0
clemson,2019.0,5.0
clemson,2018.0,3.0
clemson,2018.0,6.0
clemson,2018.0,6.0
clemson,2017.0,1.0
clemson,2017.0,1.0
clemson,2017.0,3.0
clemson,2017.0,4.0
clemson,2017.0,4.0
clemson,2017.0,5.0
clemson,2016.0,1.0
clemson,2016.0,2.0
clemson,2016.0,2.0
clemson,2016.0,2.0
clemson,2016.0,4.0
clemson,2016.0,5.0
clemson,2016.0,7.0
clemson,2016.0,7.0
clemson,2016.0,7.0
clemson,2015.0,1.0
clemson,2015.0,1.0
clemson,2015.0,5.0
clemson,2015.0,5.0
clemson,2015.0,6.0
clemson,2014.0,1.0
clemson,2014.0,3.0
clemson,2014.0,4.0
clemson,2014.0,4.0
clemson,2014.0,6.0
clemson,2013.0,1.0
clemson,2013.0,4.0
clemson,2013.0,5.0
clemson,2013.0,6.0
clemson,2012.0,2.0
clemson,2012.0,3.0
clemson,2012.0,3.0
clemson,2012.0,4.0
duke,2021.0,4.0
duke,2021.0,5.0
duke,2021.0,5.0
duke,2021.0,6.0
duke,2019.0,1.0
duke,2015.0,1.0
duke,2015.0,4.0
duke,2014.0,4.0
duke,2013.0,7.0
florida-state,2021.0,2.0
florida-state,2021.0,4.0
florida-state,2021.0,4.0
florida-state,2021.0,6.0
florida-state,2020.0,2.0
florida-state,2019.0,1.0
florida-state,2019.0,6.0
florida-state,2018.0,1.0
florida-state,2018.0,3.0
florida-state,2018.0,4.0
florida-state,2018.0,4.0
florida-state,2018.0,7.0
florida-state,2018.0,7.0
florida-state,2017.0,2.0
florida-state,2017.0,2.0
florida-state,2017.0,5.0
florida-state,2017.0,6.0
florida-state,2016.0,1.0
florida-state,2016.0,2.0
florida-state,2015.0,1.0
florida-state,2015.0,1.0
florida-state,2015.0,2.0
florida-state,2015.0,2.0
florida-state,2015.0,2.0
florida-state,2015.0,3.0
florida-state,2015.0,4.0
florida-state,2015.0,5.0
florida-state,2015.0,5.0
florida-state,2015.0,6.0
florida-state,2015.0,7.0
florida-state,2014.0,1.0
florida-state,2014.0,2.0
florida-state,2014.0,2.0
florida-state,2014.0,3.0
florida-state,2014.0,4.0
florida-state,2014.0,4.0
florida-state,2014.0,5.0
florida-state,2013.0,1.0
florida-state,2013.0,1.0
florida-state,2013.0,1.0
florida-state,2013.0,2.0
florida-state,2013.0,2.0
florida-state,2013.0,5.0
florida-state,2013.0,5.0
florida-state,2013.0,6.0
florida-state,2013.0,6.0
florida-state,2013.0,6.0
florida-state,2013.0,7.0
florida-state,2012.0,4.0
florida-state,2012.0,5.0
florida-state,2012.0,6.0
florida-state,2012.0,7.0
georgia-tech,2021.0,6.0
georgia-tech,2021.0,7.0
georgia-tech,2020.0,6.0
georgia-tech,2017.0,7.0
georgia-tech,2016.0,2.0
georgia-tech,2016.0,6.0
georgia-tech,2015.0,4.0
georgia-tech,2015.0,4.0
georgia-tech,2015.0,6.0
georgia-tech,2014.0,2.0
georgia-tech,2014.0,6.0
georgia-tech,2014.0,7.0
georgia-tech,2012.0,2.0
louisville,2021.0,2.0
louisville,2021.0,4.0
louisville,2020.0,1.0
louisville,2018.0,1.0
louisville,2018.0,1.0
louisville,2018.0,3.0
louisville,2018.0,6.0
louisville,2017.0,6.0
louisville,2017.0,7.0
louisville,2016.0,1.0
louisville,2015.0,1.0
louisville,2015.0,3.0
louisville,2015.0,3.0
louisville,2015.0,3.0
louisville,2015.0,4.0
louisville,2015.0,6.0
louisville,2015.0,6.0
louisville,2015.0,6.0
louisville,2015.0,7.0
louisville,2015.0,7.0
louisville,2014.0,1.0
louisville,2014.0,1.0
louisville,2014.0,1.0
louisville,2014.0,3.0
louisville,2012.0,7.0
miami,2021.0,1.0
miami,2021.0,1.0
miami,2021.0,5.0
miami,2021.0,6.0
miami,2020.0,4.0
miami,2020.0,4.0
miami,2020.0,5.0
miami,2020.0,7.0
miami,2019.0,4.0
miami,2019.0,5.0
miami,2019.0,5.0
miami,2019.0,6.0
miami,2019.0,6.0
miami,2018.0,3.0
miami,2018.0,4.0
miami,2018.0,4.0
miami,2018.0,5.0
miami,2018.0,6.0
miami,2018.0,7.0
miami,2017.0,1.0
miami,2017.0,4.0
miami,2017.0,5.0
miami,2017.0,5.0
miami,2017.0,6.0
miami,2017.0,6.0
miami,2017.0,7.0
miami,2017.0,7.0
miami,2017.0,7.0
miami,2016.0,1.0
miami,2016.0,4.0
miami,2015.0,1.0
miami,2015.0,1.0
miami,2015.0,2.0
miami,2015.0,3.0
miami,2015.0,3.0
miami,2015.0,4.0
miami,2015.0,6.0
miami,2014.0,3.0
miami,2014.0,6.0
miami,2014.0,7.0
miami,2013.0,5.0
miami,2013.0,6.0
miami,2012.0,3.0
miami,2012.0,3.0
miami,2012.0,4.0
miami,2012.0,4.0
miami,2012.0,6.0
miami,2012.0,6.0
north-carolina-state,2021.0,3.0
north-carolina-state,2020.0,5.0
north-carolina-state,2020.0,7.0
north-carolina-state,2019.0,1.0
north-carolina-state,2019.0,3.0
north-carolina-state,2019.0,4.0
north-carolina-state,2019.0,6.0
north-carolina-state,2018.0,1.0
north-carolina-state,2018.0,3.0
north-carolina-state,2018.0,3.0
north-carolina-state,2018.0,4.0
north-carolina-state,2018.0,4.0
north-carolina-state,2018.0,4.0
north-carolina-state,2018.0,5.0
north-carolina-state,2017.0,2.0
north-carolina-state,2017.0,7.0
north-carolina-state,2017.0,7.0
north-carolina-state,2016.0,3.0
north-carolina-state,2016.0,3.0
north-carolina-state,2016.0,4.0
north-carolina-state,2014.0,4.0
north-carolina-state,2013.0,2.0
north-carolina-state,2013.0,3.0
north-carolina-state,2013.0,5.0
north-carolina-state,2012.0,3.0
north-carolina-state,2012.0,5.0
north-carolina-state,2012.0,7.0
north-carolina-state,2012.0,7.0
north-carolina-state,2012.0,7.0
north-carolina,2021.0,2.0
north-carolina,2021.0,3.0
north-carolina,2021.0,3.0
north-carolina,2021.0,4.0
north-carolina,2021.0,6.0
north-carolina,2020.0,4.0
north-carolina,2020.0,5.0
north-carolina,2019.0,5.0
north-carolina,2018.0,2.0
north-carolina,2018.0,7.0
north-carolina,2018.0,7.0
north-carolina,2017.0,1.0
north-carolina,2017.0,3.0
north-carolina,2017.0,4.0
north-carolina,2017.0,4.0
north-carolina,2017.0,5.0
north-carolina,2017.0,7.0
north-carolina,2014.0,1.0
north-carolina,2014.0,3.0
north-carolina,2014.0,4.0
north-carolina,2014.0,4.0
north-carolina,2014.0,7.0
north-carolina,2013.0,1.0
north-carolina,2013.0,1.0
north-carolina,2013.0,2.0
north-carolina,2013.0,3.0
north-carolina,2013.0,7.0
north-carolina,2012.0,1.0
north-carolina,2012.0,2.0
pittsburgh,2021.0,3.0
pittsburgh,2021.0,4.0
pittsburgh,2021.0,5.0
pittsburgh,2021.0,6.0
pittsburgh,2021.0,6.0
pittsburgh,2021.0,7.0
pittsburgh,2020.0,7.0
pittsburgh,2019.0,5.0
pittsburgh,2018.0,2.0
pittsburgh,2018.0,4.0
pittsburgh,2018.0,4.0
pittsburgh,2017.0,3.0
pittsburgh,2017.0,4.0
pittsburgh,2017.0,5.0
pittsburgh,2017.0,6.0
pittsburgh,2017.0,7.0
pittsburgh,2016.0,2.0
pittsburgh,2015.0,4.0
pittsburgh,2014.0,1.0
pittsburgh,2014.0,4.0
pittsburgh,2014.0,5.0
syracuse,2021.0,3.0
syracuse,2021.0,3.0
syracuse,2020.0,5.0
syracuse,2020.0,7.0
syracuse,2019.0,7.0
syracuse,2018.0,7.0
syracuse,2016.0,7.0
syracuse,2014.0,3.0
syracuse,2014.0,5.0
syracuse,2013.0,1.0
syracuse,2013.0,4.0
syracuse,2013.0,4.0
syracuse,2012.0,1.0
syracuse,2012.0,6.0
virginia,2020.0,5.0
virginia,2020.0,5.0
virginia,2019.0,2.0
virginia,2019.0,6.0
virginia,2018.0,5.0
virginia,2018.0,5.0
virginia,2016.0,6.0
virginia,2015.0,3.0
virginia,2015.0,6.0
virginia,2014.0,3.0
virginia,2014.0,4.0
virginia,2014.0,6.0
virginia,2013.0,5.0
virginia,2012.0,7.0
virginia-tech,2021.0,1.0
virginia-tech,2021.0,1.0
virginia-tech,2021.0,3.0
virginia-tech,2021.0,6.0
virginia-tech,2020.0,3.0
virginia-tech,2018.0,1.0
virginia-tech,2018.0,1.0
virginia-tech,2018.0,5.0
virginia-tech,2018.0,5.0
virginia-tech,2018.0,7.0
virginia-tech,2017.0,6.0
virginia-tech,2017.0,6.0
virginia-tech,2017.0,6.0
virginia-tech,2017.0,7.0
virginia-tech,2016.0,3.0
virginia-tech,2016.0,6.0
virginia-tech,2015.0,6.0
virginia-tech,2015.0,7.0
virginia-tech,2014.0,1.0
virginia-tech,2014.0,4.0
virginia-tech,2014.0,6.0
virginia-tech,2013.0,6.0
virginia-tech,2013.0,6.0
virginia-tech,2012.0,1.0
virginia-tech,2012.0,3.0
virginia-tech,2012.0,5.0
wake-forest,2021.0,2.0
