State,Code,Region
Alabama,AL,East South Central
Alaska,AK,Pacific
Arizona,AZ,West
Arkansas,AR,West South Central
California,CA,Pacific
Colorado,CO,West
Connecticut,CT,Northeast
Delaware,DE,South Atlantic
District of Columbia,DC,South Atlantic
Florida,FL,South Atlantic
Georgia,GA,South Atlantic
Hawaii,HI,Pacific
Idaho,ID,West
Illinois,IL,East North Central
Indiana,IN,East North Central
Iowa,IA,West North Central
Kansas,KS,West North Central
Kentucky,KY,East South Central
Louisiana,LA,West South Central
Maine,ME,Northeast
Maryland,MD,South Atlantic
Massachusetts,MA,Northeast
Michigan,MI,East North Central
Minnesota,MN,West North Central
Mississippi,MS,East South Central
Missouri,MO,West North Central
Montana,MT,West
Nebraska,NE,West North Central
Nevada,NV,West
New Hampshire,NH,Northeast
New Jersey,NJ,Northeast
New Mexico,NM,West
New York,NY,Northeast
North Carolina,NC,South Atlantic
North Dakota,ND,West North Central
Ohio,OH,East North Central
Oklahoma,OK,West South Central
Oregon,OR,Pacific
Pennsylvania,PA,Northeast
Rhode Island,RI,Northeast
South Carolina,SC,South Atlantic
South Dakota,SD,West North Central
Tennessee,TN,East South Central
Texas,TX,West South Central
Utah,UT,West
Vermont,VT,Northeast
Virginia,VA,South Atlantic
Washington,WA,Pacific
West Virginia,WV,South Atlantic
Wisconsin,WI,East North Central
Wyoming,WY,West
