TeamFullName,TeamName,TeamWebName,TeamHomepage,TeamRoster,ConferenceName,ConferenceType
Boston College Eagles,Boston College,boston-college,https://247sports.com/college/boston-college/,https://247sports.com/college/boston-college/Team/Boston-College-Eagles-Football-1/Roster/,ACC,Power Conferences
Clemson Tigers,Clemson,clemson,https://247sports.com/college/clemson/,https://247sports.com/college/clemson/Team/Clemson-Tigers-Football-3/Roster/,ACC,Power Conferences
Duke Blue Devils,Duke,duke,https://247sports.com/college/duke/,https://247sports.com/college/duke/Team/Duke-Blue-Devils-Football-5/Roster/,ACC,Power Conferences
Florida State Seminoles,Florida State,florida-state,https://247sports.com/college/florida-state/,https://247sports.com/college/florida-state/Team/Florida-State-Seminoles-Football-7/Roster/,ACC,Power Conferences
Georgia Tech Yellow Jackets,Georgia Tech,georgia-tech,https://247sports.com/college/georgia-tech/,https://247sports.com/college/georgia-tech/Team/Georgia-Tech-Yellow-Jackets-Football-9/Roster/,ACC,Power Conferences
Louisville Cardinals,Louisville,louisville,https://247sports.com/college/louisville/,https://247sports.com/college/louisville/Team/Louisville-Cardinals-Football-53/Roster/,ACC,Power Conferences
Miami Hurricanes,Miami,miami,https://247sports.com/college/miami/,https://247sports.com/college/miami/Team/Miami-Hurricanes-Football-13/Roster/,ACC,Power Conferences
NC State Wolfpack,North Carolina State,north-carolina-state,https://247sports.com/college/north-carolina-state/,https://247sports.com/college/north-carolina-state/Team/NC-State-Wolfpack-Football-17/Roster/,ACC,Power Conferences
North Carolina Tar Heels,North Carolina,north-carolina,https://247sports.com/college/north-carolina/,https://247sports.com/college/north-carolina/Team/North-Carolina-Tar-Heels-Football-15/Roster/,ACC,Power Conferences
Pittsburgh Panthers,Pittsburgh,pittsburgh,https://247sports.com/college/pittsburgh/,https://247sports.com/college/pittsburgh/Team/Pittsburgh-Panthers-Football-460/Roster/,ACC,Power Conferences
Syracuse Orange,Syracuse,syracuse,https://247sports.com/college/syracuse/,https://247sports.com/college/syracuse/Team/Syracuse-Orange-Football-461/Roster/,ACC,Power Conferences
Virginia Cavaliers,Virginia,virginia,https://247sports.com/college/virginia/,https://247sports.com/college/virginia/Team/Virginia-Cavaliers-Football-19/Roster/,ACC,Power Conferences
Virginia Tech Hokies,Virginia Tech,virginia-tech,https://247sports.com/college/virginia-tech/,https://247sports.com/college/virginia-tech/Team/Virginia-Tech-Hokies-Football-21/Roster/,ACC,Power Conferences
Wake Forest Demon Deacons,Wake Forest,wake-forest,https://247sports.com/college/wake-forest/,https://247sports.com/college/wake-forest/Team/Wake-Forest-Demon-Deacons-Football-23/Roster/,ACC,Power Conferences
Baylor Bears,Baylor,baylor,https://247sports.com/college/baylor/,https://247sports.com/college/baylor/Team/Baylor-Bears-Football-25/Roster/,Big 12,Power Conferences
Iowa State Cyclones,Iowa State,iowa-state,https://247sports.com/college/iowa-state/,https://247sports.com/college/iowa-state/Team/Iowa-State-Cyclones-Football-29/Roster/,Big 12,Power Conferences
Kansas Jayhawks,Kansas,kansas,https://247sports.com/college/kansas/,https://247sports.com/college/kansas/Team/Kansas-Jayhawks-Football-31/Roster/,Big 12,Power Conferences
Kansas State Wildcats,Kansas State,kansas-state,https://247sports.com/college/kansas-state/,https://247sports.com/college/kansas-state/Team/Kansas-State-Wildcats-Football-33/Roster/,Big 12,Power Conferences
Oklahoma Sooners,Oklahoma,oklahoma,https://247sports.com/college/oklahoma/,https://247sports.com/college/oklahoma/Team/Oklahoma-Sooners-Football-39/Roster/,Big 12,Power Conferences
Oklahoma State Cowboys,Oklahoma State,oklahoma-state,https://247sports.com/college/oklahoma-state/,https://247sports.com/college/oklahoma-state/Team/Oklahoma-State-Cowboys-Football-41/Roster/,Big 12,Power Conferences
TCU Horned Frogs,Tcu,tcu,https://247sports.com/college/tcu/,https://247sports.com/college/tcu/Team/TCU-Horned-Frogs-Football-456/Roster/,Big 12,Power Conferences
Texas Longhorns,Texas,texas,https://247sports.com/college/texas/,https://247sports.com/college/texas/Team/Texas-Longhorns-Football-43/Roster/,Big 12,Power Conferences
Texas Tech Red Raiders,Texas Tech,texas-tech,https://247sports.com/college/texas-tech/,https://247sports.com/college/texas-tech/Team/Texas-Tech-Red-Raiders-Football-47/Roster/,Big 12,Power Conferences
West Virginia Mountaineers,West Virginia,west-virginia,https://247sports.com/college/west-virginia/,https://247sports.com/college/west-virginia/Team/West-Virginia-Mountaineers-Football-457/Roster/,Big 12,Power Conferences
Illinois Fighting Illini,Illinois,illinois,https://247sports.com/college/illinois/,https://247sports.com/college/illinois/Team/Illinois-Fighting-Illini-Football-65/Roster/,Big Ten,Power Conferences
Indiana Hoosiers,Indiana,indiana,https://247sports.com/college/indiana/,https://247sports.com/college/indiana/Team/Indiana-Hoosiers-Football-67/Roster/,Big Ten,Power Conferences
Iowa Hawkeyes,Iowa,iowa,https://247sports.com/college/iowa/,https://247sports.com/college/iowa/Team/Iowa-Hawkeyes-Football-69/Roster/,Big Ten,Power Conferences
Maryland Terrapins,Maryland,maryland,https://247sports.com/college/maryland/,https://247sports.com/college/maryland/Team/Maryland-Terrapins-Football-11/Roster/,Big Ten,Power Conferences
Michigan State Spartans,Michigan State,michigan-state,https://247sports.com/college/michigan-state/,https://247sports.com/college/michigan-state/Team/Michigan-State-Spartans-Football-73/Roster/,Big Ten,Power Conferences
Michigan Wolverines,Michigan,michigan,https://247sports.com/college/michigan/,https://247sports.com/college/michigan/Team/Michigan-Wolverines-Football-71/Roster/,Big Ten,Power Conferences
Minnesota Golden Gophers,Minnesota,minnesota,https://247sports.com/college/minnesota/,https://247sports.com/college/minnesota/Team/Minnesota-Golden-Gophers-Football-75/Roster/,Big Ten,Power Conferences
Nebraska Cornhuskers,Nebraska,nebraska,https://247sports.com/college/nebraska/,https://247sports.com/college/nebraska/Team/Nebraska-Cornhuskers-Football-37/Roster/,Big Ten,Power Conferences
Northwestern Wildcats,Northwestern,northwestern,https://247sports.com/college/northwestern/,https://247sports.com/college/northwestern/Team/Northwestern-Wildcats-Football-77/Roster/,Big Ten,Power Conferences
Ohio State Buckeyes,Ohio State,ohio-state,https://247sports.com/college/ohio-state/,https://247sports.com/college/ohio-state/Team/Ohio-State-Buckeyes-Football-79/Roster/,Big Ten,Power Conferences
Penn State Nittany Lions,Penn State,penn-state,https://247sports.com/college/penn-state/,https://247sports.com/college/penn-state/Team/Penn-State-Nittany-Lions-Football-81/Roster/,Big Ten,Power Conferences
Purdue Boilermakers,Purdue,purdue,https://247sports.com/college/purdue/,https://247sports.com/college/purdue/Team/Purdue-Boilermakers-Football-83/Roster/,Big Ten,Power Conferences
Rutgers Scarlet Knights,Rutgers,rutgers,https://247sports.com/college/rutgers/,https://247sports.com/college/rutgers/Team/Rutgers-Scarlet-Knights-Football-57/Roster/,Big Ten,Power Conferences
Wisconsin Badgers,Wisconsin,wisconsin,https://247sports.com/college/wisconsin/,https://247sports.com/college/wisconsin/Team/Wisconsin-Badgers-Football-85/Roster/,Big Ten,Power Conferences
Arizona State Sun Devils,Arizona State,arizona-state,https://247sports.com/college/arizona-state/,https://247sports.com/college/arizona-state/Team/Arizona-State-Sun-Devils-Football-148/Roster/,Pacific-12,Power Conferences
Arizona Wildcats,Arizona,arizona,https://247sports.com/college/arizona/,https://247sports.com/college/arizona/Team/Arizona-Wildcats-Football-146/Roster/,Pacific-12,Power Conferences
California Golden Bears,California,california,https://247sports.com/college/california/,https://247sports.com/college/california/Team/California-Golden-Bears-Football-150/Roster/,Pacific-12,Power Conferences
Colorado Buffaloes,Colorado,colorado,https://247sports.com/college/colorado/,https://247sports.com/college/colorado/Team/Colorado-Buffaloes-Football-27/Roster/,Pacific-12,Power Conferences
Oregon Ducks,Oregon,oregon,https://247sports.com/college/oregon/,https://247sports.com/college/oregon/Team/Oregon-Ducks-Football-152/Roster/,Pacific-12,Power Conferences
Oregon State Beavers,Oregon State,oregon-state,https://247sports.com/college/oregon-state/,https://247sports.com/college/oregon-state/Team/Oregon-State-Beavers-Football-154/Roster/,Pacific-12,Power Conferences
Stanford Cardinal,Stanford,stanford,https://247sports.com/college/stanford/,https://247sports.com/college/stanford/Team/Stanford-Cardinal-Football-156/Roster/,Pacific-12,Power Conferences
UCLA Bruins,Ucla,ucla,https://247sports.com/college/ucla/,https://247sports.com/college/ucla/Team/UCLA-Bruins-Football-158/Roster/,Pacific-12,Power Conferences
USC Trojans,Usc,usc,https://247sports.com/college/usc/,https://247sports.com/college/usc/Team/USC-Trojans-Football-214/Roster/,Pacific-12,Power Conferences
Utah Utes,Utah,utah,https://247sports.com/college/utah/,https://247sports.com/college/utah/Team/Utah-Utes-Football-144/Roster/,Pacific-12,Power Conferences
Washington Huskies,Washington,washington,https://247sports.com/college/washington/,https://247sports.com/college/washington/Team/Washington-Huskies-Football-160/Roster/,Pacific-12,Power Conferences
